c;sdmu_h;numgen;v;N;seed;init_pD;mu_h;init_pH;runtime;generation;meanpH;meanpD;varpH;varpD;freq_hawk;file
3;0.02;40000;1;5000;621731411;0;0.01;0.5;0;40000;0.11967;0.59143;0.0018072;0.010322;0.3166;./hpcbatch_16_08_2017_230103/core_55/sim_hd_17_8_2017_083213_621330935
3;0.02;40000;1;5000;546666163;0.9;0.01;0.8;0;40000;0.31337;0.65692;0.0018824;0.004463;0.3222;./hpcbatch_16_08_2017_230103/core_97/sim_hd_17_8_2017_091658_546306011
5;0.02;40000;1;5000;549951201;1;0.01;0.1;0;40000;0.5371;0.86812;0.0032848;0.012928;0.2012;./hpcbatch_16_08_2017_230103/core_142/sim_hd_17_8_2017_092843_549562251
5;0.02;40000;1;5000;786480626;0.8;0.01;0.1;0;40000;0.32945;0.83306;0.0028061;0.0014878;0.2006;./hpcbatch_16_08_2017_230103/core_140/sim_hd_17_8_2017_092828_785662947
3;0.02;40000;1;5000;572487661;0.6;0.01;0.8;0;40000;0.58591;0.76074;0.0026798;0.0013597;0.3722;./hpcbatch_16_08_2017_230103/core_94/sim_hd_17_8_2017_091628_553695388
5;0.02;40000;1;5000;771144430;0.5;0.01;0;0;40000;0.1391;0.76986;0.0068661;0.0053602;0.2068;./hpcbatch_16_08_2017_230103/core_126/sim_hd_17_8_2017_092413_770826387
5;0.02;40000;1;5000;672675339;0.4;0.01;0.5;0;40000;0.40942;0.83022;0.004946;0.0060649;0.2152;./hpcbatch_16_08_2017_230103/core_180/sim_hd_17_8_2017_101115_672343597
3;0.02;40000;1;5000;583597522;1;0.01;0.5;0;40000;0.32125;0.64444;0.0034059;0.0025486;0.3476;./hpcbatch_16_08_2017_230103/core_65/sim_hd_17_8_2017_083628_583236865
3;0.02;40000;1;5000;607214262;0.4;0.01;0.5;0;40000;0.38943;0.71699;0.0031216;0.0093857;0.3154;./hpcbatch_16_08_2017_230103/core_59/sim_hd_17_8_2017_083228_606872068
5;0.02;40000;1;5000;619064581;0.9;0.01;0.3;0;40000;0.34506;0.84318;0.0036551;0.0028392;0.1898;./hpcbatch_16_08_2017_230103/core_163/sim_hd_17_8_2017_094658_618704730
3;0.02;40000;1;5000;666089586;0.2;0.01;0.9;0;40000;0.60784;0.8006;0.0057027;0.0069003;0.3242;./hpcbatch_16_08_2017_230103/core_101/sim_hd_17_8_2017_091728_665723660
5;0.02;40000;1;5000;630474135;0.7;0.01;0.7;0;40000;0.33258;0.82562;0.0046893;0.0032096;0.1974;./hpcbatch_16_08_2017_230103/core_205/sim_hd_17_8_2017_101828_630153882
5;0.02;40000;1;5000;637614011;0.5;0.01;0.5;0;40000;0.26986;0.78319;0.014134;0.032285;0.2102;./hpcbatch_16_08_2017_230103/core_181/sim_hd_17_8_2017_101145_637285930
3;0.02;40000;1;5000;623655956;0.1;0.01;0.5;0;40000;0.28251;0.61532;0.001472;0.010987;0.3484;./hpcbatch_16_08_2017_230103/core_56/sim_hd_17_8_2017_083213_623316947
3;0.02;40000;1;5000;683097401;0.8;0.01;0.2;0;40000;0.30171;0.65432;0.001847;0.015736;0.3236;./hpcbatch_16_08_2017_230103/core_30/sim_hd_17_8_2017_082558_682737964
3;0.02;40000;1;5000;681608084;0.5;0.01;0.2;0;40000;0.2811;0.65794;0.0080794;0.0031139;0.3182;./hpcbatch_16_08_2017_230103/core_27/sim_hd_17_8_2017_082458_681278561
3;0.02;40000;1;5000;607228041;0;0.01;0.4;0;40000;0.12438;0.54608;0.0067057;0.0021261;0.3462;./hpcbatch_16_08_2017_230103/core_44/sim_hd_17_8_2017_083013_606900580
5;0.02;40000;1;5000;716672930;0.3;0.01;0.7;0;40000;0.48378;0.88031;0.0047073;0.0018167;0.1782;./hpcbatch_16_08_2017_230103/core_201/sim_hd_17_8_2017_101628_716374752
5;0.02;40000;1;5000;701519804;0.5;0.01;1;0;40000;0.64419;0.90236;0.0036137;0.0043691;0.2032;./hpcbatch_16_08_2017_230103/core_236/sim_hd_17_8_2017_102928_701148465
5;0.02;40000;1;5000;709783306;0.1;0.01;0.1;0;40000;0.16892;0.78844;0.0027733;0.01094;0.1988;./hpcbatch_16_08_2017_230103/core_133/sim_hd_17_8_2017_092658_709467012
5;0.02;40000;1;5000;652074396;0.6;0.01;0.1;0;40000;0.11344;0.76732;0.0054162;0.0044637;0.2052;./hpcbatch_16_08_2017_230103/core_138/sim_hd_17_8_2017_092813_651765145
3;0.02;40000;1;5000;591929213;0;0.01;0.6;0;40000;0.29961;0.65907;0.0068044;0.0076368;0.312;./hpcbatch_16_08_2017_230103/core_66/sim_hd_17_8_2017_083628_591592184
