c;pinit;d;v;time;vh_1;vd_1;p;vd_0;rdd;rhd;rhh;f_1;f_0;vh_2;file
0.43;0.33;0.1;0.17;12084;1.06485;0.950674;0.757113;1.0126;0.0537014;0.3255;0.492836;0.396085;0.0576343;0.993043;./core_126/iter_freqdep_16_9_2016_160335_314323555
0.43;0.33;0.5;0.17;4324;1.0629;0.956958;0.471248;1.01371;0.105659;0.212607;0.105558;0.525418;0.267372;0.957133;./core_126/iter_freqdep_16_9_2016_160335_617403319
0.43;0.33;1;0.17;3360;1.0661;0.97102;0.44678;1.01731;-0;-0;-0;0.521121;0.292653;0.920854;./core_126/iter_freqdep_16_9_2016_160335_717614924
0.45;0.33;0.1;0.17;12122;1.06457;0.950403;0.737876;1.01241;0.0626689;0.344758;0.473892;0.417412;0.0672573;0.992315;./core_126/iter_freqdep_16_9_2016_160335_813636346
0.45;0.33;0.5;0.17;4515;1.06237;0.956348;0.454352;1.01312;0.111413;0.212031;0.0993052;0.523591;0.285181;0.954814;./core_126/iter_freqdep_16_9_2016_160336_100646567
0.45;0.33;1;0.17;3376;1.06537;0.970212;0.430701;1.0165;-0;-0;-0;0.517784;0.3104;0.916581;./core_126/iter_freqdep_16_9_2016_160336_219190250
0.47;0.33;0.1;0.17;12095;1.06429;0.950107;0.719134;1.01219;0.0719882;0.362345;0.455818;0.43662;0.0773471;0.991594;./core_126/iter_freqdep_16_9_2016_160336_312973383
0.47;0.33;0.5;0.17;4580;1.06189;0.955791;0.438888;1.01257;0.116731;0.21104;0.0936543;0.520854;0.30201;0.952573;./core_127/iter_freqdep_16_9_2016_160408_276384687
0.47;0.33;1;0.17;3361;1.06469;0.969475;0.415991;1.01576;-0;-0;-0;0.513763;0.327121;0.912434;./core_127/iter_freqdep_16_9_2016_160408_456241473
0.49;0.33;0.1;0.17;12006;1.064;0.949795;0.700983;1.01195;0.0815319;0.378229;0.438604;0.45374;0.0877904;0.990886;./core_127/iter_freqdep_16_9_2016_160408_653225723
0.49;0.33;0.5;0.17;4588;1.06145;0.955279;0.424682;1.01207;0.121656;0.209736;0.0885313;0.51744;0.317917;0.950404;./core_127/iter_freqdep_16_9_2016_160409_33277436
0.49;0.33;1;0.17;3329;1.06408;0.968799;0.402481;1.01508;-0;-0;-0;0.509253;0.342886;0.908404;./core_127/iter_freqdep_16_9_2016_160409_260211229
0.51;0.33;0.1;0.17;11863;1.06371;0.949476;0.683494;1.01169;0.0911801;0.39243;0.422241;0.468854;0.0984769;0.990193;./core_127/iter_freqdep_16_9_2016_160409_404312390
0.51;0.33;0.5;0.17;4567;1.06104;0.954809;0.411586;1.01162;0.126227;0.2082;0.0838725;0.513527;0.332962;0.9483;./core_127/iter_freqdep_16_9_2016_160409_782898760
0.51;0.33;1;0.17;3288;1.06351;0.968178;0.390031;1.01446;-0;-0;-0;0.504401;0.357762;0.904481;./core_127/iter_freqdep_16_9_2016_160409_958019072
0.53;0.33;0.1;0.17;11673;1.06343;0.949155;0.666717;1.01143;0.100826;0.405007;0.406708;0.482079;0.109305;0.989518;./core_127/iter_freqdep_16_9_2016_160410_105467320
0.53;0.33;0.5;0.17;4529;1.06066;0.954374;0.399476;1.01119;0.130479;0.206493;0.0796236;0.509251;0.347202;0.946258;./core_127/iter_freqdep_16_9_2016_160410_475377309
0.53;0.33;1;0.17;3242;1.06299;0.967605;0.378521;1.01388;-0;-0;-0;0.499319;0.371814;0.90066;./core_128/iter_freqdep_16_9_2016_160338_933954277
0.55;0.33;0.1;0.17;11448;1.06316;0.948837;0.650678;1.01116;0.110381;0.416046;0.391985;0.493555;0.120183;0.988863;./core_128/iter_freqdep_16_9_2016_160339_145526404
0.55;0.33;0.5;0.17;4481;1.06031;0.953971;0.388244;1.0108;0.134442;0.204662;0.0757376;0.50472;0.36069;0.944272;./core_128/iter_freqdep_16_9_2016_160339_575917327
0.55;0.33;1;0.17;3194;1.06251;0.967075;0.367847;1.01335;-0;-0;-0;0.494093;0.3851;0.896934;./core_128/iter_freqdep_16_9_2016_160339_818172783
0.57;0.33;0.1;0.17;11192;1.0629;0.948525;0.635386;1.0109;0.119771;0.425655;0.378044;0.503437;0.131035;0.988227;./core_128/iter_freqdep_16_9_2016_160339_985332915
0.57;0.33;0.5;0.17;4427;1.05999;0.953596;0.377798;1.01044;0.138144;0.202745;0.0721741;0.500015;0.373478;0.942339;./core_128/iter_freqdep_16_9_2016_160340_448671017
0.57;0.33;1;0.17;3145;1.06206;0.966583;0.357923;1.01286;-0;-0;-0;0.48879;0.397676;0.893296;./core_128/iter_freqdep_16_9_2016_160340_662852002
0.59;0.33;0.1;0.17;10910;1.06265;0.948222;0.620835;1.01064;0.128941;0.433952;0.364852;0.511879;0.141797;0.987612;./core_128/iter_freqdep_16_9_2016_160340_824383119
0.59;0.33;0.5;0.17;4370;1.05969;0.953248;0.368058;1.0101;0.141609;0.200771;0.068898;0.495202;0.385614;0.940456;./core_128/iter_freqdep_16_9_2016_160341_323996305
0.59;0.33;1;0.17;3096;1.06165;0.966124;0.348671;1.0124;-0;-0;-0;0.483458;0.409594;0.889742;./core_128/iter_freqdep_16_9_2016_160341_567053750
0.61;0.33;0.1;0.17;10607;1.06241;0.947929;0.607008;1.01039;0.137851;0.441059;0.352376;0.519034;0.152417;0.987018;./core_129/iter_freqdep_16_9_2016_160334_642958229
0.61;0.33;0.5;0.17;4313;1.05941;0.952922;0.358955;1.00978;0.144858;0.198765;0.0658789;0.490329;0.397142;0.938619;./core_129/iter_freqdep_16_9_2016_160334_960945589
0.61;0.33;1;0.17;3048;1.06126;0.965697;0.340027;1.01197;-0;-0;-0;0.478138;0.420899;0.886268;./core_129/iter_freqdep_16_9_2016_160335_118985187
0.63;0.33;0.1;0.17;10283;1.06218;0.947648;0.593878;1.01014;0.146472;0.447094;0.34058;0.525048;0.162857;0.986442;./core_129/iter_freqdep_16_9_2016_160335_243760407
0.63;0.33;0.5;0.17;4254;1.05915;0.952617;0.350429;1.00948;0.147912;0.196742;0.0630903;0.485437;0.408104;0.936827;./core_129/iter_freqdep_16_9_2016_160335_548886626
0.63;0.33;1;0.17;3000;1.0609;0.965297;0.331931;1.01157;-0;-0;-0;0.472859;0.431634;0.882869;./core_129/iter_freqdep_16_9_2016_160335_709919812
0.65;0.33;0.1;0.17;9942;1.06196;0.947379;0.581416;1.00991;0.154789;0.452171;0.329428;0.530052;0.173085;0.985886;./core_129/iter_freqdep_16_9_2016_160335_828555707
0.65;0.33;0.5;0.17;4196;1.0589;0.952332;0.342425;1.0092;0.150787;0.194719;0.0605088;0.480556;0.418537;0.935076;./core_129/iter_freqdep_16_9_2016_160336_117555695
0.65;0.33;1;0.17;2955;1.06056;0.964923;0.324333;1.01119;-0;-0;-0;0.467642;0.441841;0.879542;./core_129/iter_freqdep_16_9_2016_160336_283196645
0.67;0.33;0.1;0.17;9580;1.06175;0.947121;0.569589;1.00969;0.162792;0.456396;0.318882;0.534169;0.183083;0.985348;./core_129/iter_freqdep_16_9_2016_160336_405109642
0.67;0.33;0.5;0.17;4139;1.05867;0.952063;0.334898;1.00894;0.153499;0.192705;0.0581141;0.475708;0.428476;0.933364;./core_130/iter_freqdep_16_9_2016_160335_803524865
0.67;0.33;1;0.17;2910;1.06024;0.964571;0.317189;1.01084;-0;-0;-0;0.462505;0.451554;0.876284;./core_130/iter_freqdep_16_9_2016_160335_960551198
0.69;0.33;0.1;0.17;9194;1.06155;0.946875;0.558361;1.00947;0.17048;0.459868;0.308906;0.537507;0.192834;0.984827;./core_130/iter_freqdep_16_9_2016_160336_81577465
0.69;0.33;0.5;0.17;4083;1.05845;0.95181;0.327806;1.0087;0.15606;0.190709;0.0558882;0.470913;0.437954;0.93169;./core_130/iter_freqdep_16_9_2016_160336_352479281
0.69;0.33;1;0.17;2866;1.05994;0.96424;0.310459;1.01051;-0;-0;-0;0.457459;0.460806;0.873092;./core_130/iter_freqdep_16_9_2016_160336_505242989
0.71;0.33;0.1;0.17;8776;1.06137;0.94664;0.547697;1.00927;0.177856;0.462674;0.299466;0.540164;0.202331;0.984323;./core_130/iter_freqdep_16_9_2016_160336_618967469
0.71;0.33;0.5;0.17;4028;1.05825;0.951572;0.321113;1.00846;0.158484;0.188737;0.0538152;0.466184;0.447001;0.930051;./core_130/iter_freqdep_16_9_2016_160336_926869614
0.71;0.33;1;0.17;2824;1.05966;0.963928;0.304108;1.0102;-0;-0;-0;0.452513;0.46963;0.869962;./core_130/iter_freqdep_16_9_2016_160337_104554545
0.73;0.33;0.1;0.17;8313;1.06119;0.946416;0.537563;1.00907;0.184926;0.464894;0.290527;0.542225;0.211568;0.983833;./core_130/iter_freqdep_16_9_2016_160337_255126360
0.73;0.33;0.5;0.17;3975;1.05806;0.951346;0.314785;1.00825;0.160781;0.186796;0.0518812;0.461532;0.455644;0.928447;./core_130/iter_freqdep_16_9_2016_160337_549857650
0.73;0.33;1;0.17;2784;1.05939;0.963633;0.298105;1.0099;-0;-0;-0;0.447675;0.478052;0.866893;./core_131/iter_freqdep_16_9_2016_160351_967981224
0.75;0.33;0.1;0.17;7776;1.06102;0.946202;0.527925;1.00888;0.191699;0.466598;0.282058;0.543766;0.220545;0.983359;./core_131/iter_freqdep_16_9_2016_160352_290473753
0.75;0.33;0.5;0.17;3924;1.05787;0.951133;0.308793;1.00804;0.162961;0.184888;0.0500737;0.456963;0.463908;0.926875;./core_131/iter_freqdep_16_9_2016_160352_668934061
0.75;0.33;1;0.17;2744;1.05914;0.963355;0.292423;1.00962;-0;-0;-0;0.442947;0.486099;0.863881;./core_131/iter_freqdep_16_9_2016_160352_907942885
0.77;0.33;0.1;0.17;7107;1.06086;0.945998;0.518753;1.0087;0.198186;0.467849;0.274029;0.544854;0.229262;0.982898;./core_131/iter_freqdep_16_9_2016_160353_121134380
0.77;0.33;0.5;0.17;3874;1.0577;0.950931;0.303112;1.00784;0.165033;0.183016;0.0483815;0.452484;0.471818;0.925335;./core_131/iter_freqdep_16_9_2016_160353_431178282
0.77;0.33;1;0.17;2707;1.0589;0.963091;0.287035;1.00936;-0;-0;-0;0.438331;0.493794;0.860926;./core_131/iter_freqdep_16_9_2016_160353_621549736
0.79;0.33;0.1;0.17;6131;1.0607;0.945803;0.510016;1.00853;0.204399;0.468704;0.266412;0.545546;0.237725;0.982451;./core_131/iter_freqdep_16_9_2016_160353_864536056
0.79;0.33;0.5;0.17;3826;1.05754;0.950739;0.297717;1.00765;0.167005;0.181182;0.0467948;0.448099;0.479394;0.923825;./core_131/iter_freqdep_16_9_2016_160354_73984810
0.79;0.33;1;0.17;2671;1.05867;0.962841;0.28192;1.00911;-0;-0;-0;0.43383;0.501159;0.858025;./core_131/iter_freqdep_16_9_2016_160354_285428923
0.81;0.33;0.1;0.17;3628;1.06056;0.945618;0.501687;1.00837;0.21035;0.469211;0.259179;0.545893;0.245937;0.982016;./core_132/iter_freqdep_16_9_2016_160336_385778721
0.81;0.33;0.5;0.17;3778;1.05738;0.950557;0.292588;1.00748;0.168883;0.179387;0.0453048;0.44381;0.486657;0.922343;./core_132/iter_freqdep_16_9_2016_160336_500179611
0.81;0.33;1;0.17;2636;1.05846;0.962603;0.277058;1.00887;-0;-0;-0;0.429443;0.508215;0.855175;./core_132/iter_freqdep_16_9_2016_160336_649860104
0.83;0.33;0.1;0.17;5289;1.06042;0.945451;0.494004;1.00823;0.215872;0.46945;0.252562;0.545976;0.253629;0.981594;./core_132/iter_freqdep_16_9_2016_160336_759185446
0.83;0.33;0.5;0.17;3733;1.05723;0.950383;0.287706;1.00731;0.170675;0.177633;0.0439034;0.439618;0.493625;0.92089;./core_132/iter_freqdep_16_9_2016_160336_929270541
0.83;0.33;1;0.17;2603;1.05825;0.962377;0.27243;1.00864;-0;-0;-0;0.425169;0.51498;0.852376;./core_132/iter_freqdep_16_9_2016_160337_162494155
0.85;0.33;0.1;0.17;6348;1.06028;0.945281;0.486408;1.00808;0.221339;0.469394;0.246022;0.54577;0.261358;0.981182;./core_132/iter_freqdep_16_9_2016_160337_336316217
0.85;0.33;0.5;0.17;3689;1.05709;0.950218;0.283052;1.00715;0.172387;0.175919;0.0425836;0.435524;0.500315;0.919463;./core_132/iter_freqdep_16_9_2016_160337_599861570
0.85;0.33;1;0.17;2570;1.05806;0.962162;0.26802;1.00843;-0;-0;-0;0.421007;0.521471;0.849625;./core_132/iter_freqdep_16_9_2016_160337_898593689
0.87;0.33;0.1;0.17;6860;1.06016;0.945118;0.479146;1.00793;0.22658;0.469106;0.239797;0.545335;0.268856;0.98078;./core_132/iter_freqdep_16_9_2016_160338_87394006
0.87;0.33;0.5;0.17;3647;1.05696;0.950061;0.278612;1.00699;0.174024;0.174246;0.0413389;0.431527;0.506744;0.918062;./core_133/iter_freqdep_16_9_2016_160351_250212239
0.87;0.33;1;0.17;2538;1.05787;0.961957;0.263813;1.00822;-0;-0;-0;0.416955;0.527704;0.846921;./core_133/iter_freqdep_16_9_2016_160351_469168765
0.89;0.33;0.1;0.17;7173;1.06003;0.944962;0.472198;1.0078;0.231607;0.468614;0.233867;0.544702;0.276131;0.980389;./core_133/iter_freqdep_16_9_2016_160351_663012205
0.89;0.33;0.5;0.17;3605;1.05683;0.94991;0.27437;1.00685;0.17559;0.172614;0.0401635;0.427628;0.512925;0.916686;./core_133/iter_freqdep_16_9_2016_160351_958255701
0.89;0.33;1;0.17;2508;1.0577;0.961761;0.259795;1.00802;-0;-0;-0;0.413011;0.533694;0.844263;./core_133/iter_freqdep_16_9_2016_160352_285457123
0.91;0.33;0.1;0.17;7383;1.05992;0.944813;0.465543;1.00767;0.236432;0.467944;0.228215;0.543897;0.28319;0.980007;./core_133/iter_freqdep_16_9_2016_160352_542475877
0.91;0.33;0.5;0.17;3566;1.0567;0.949766;0.270315;1.00671;0.177091;0.171021;0.0390522;0.423823;0.518873;0.915334;./core_133/iter_freqdep_16_9_2016_160352_836361942
0.91;0.33;1;0.17;2479;1.05753;0.961574;0.255953;1.00784;-0;-0;-0;0.409173;0.539455;0.841649;./core_133/iter_freqdep_16_9_2016_160353_7609294
0.93;0.33;0.1;0.17;7531;1.0598;0.94467;0.459164;1.00754;0.241066;0.46712;0.222823;0.542942;0.290042;0.979635;./core_133/iter_freqdep_16_9_2016_160353_203270745
0.93;0.33;0.5;0.17;3528;1.05659;0.949629;0.266433;1.00657;0.17853;0.169468;0.0380002;0.420113;0.5246;0.914005;./core_133/iter_freqdep_16_9_2016_160353_485878936
0.93;0.33;1;0.17;2451;1.05737;0.961395;0.252277;1.00766;-0;-0;-0;0.405437;0.544999;0.839077;./core_134/iter_freqdep_16_9_2016_160401_158112745
0.95;0.33;0.1;0.17;7637;1.0597;0.944532;0.453044;1.00742;0.245519;0.466161;0.217675;0.541857;0.296692;0.979271;./core_134/iter_freqdep_16_9_2016_160401_305692507
0.95;0.33;0.5;0.17;3491;1.05647;0.949497;0.262714;1.00645;0.179912;0.167954;0.0370033;0.416496;0.530119;0.912699;./core_134/iter_freqdep_16_9_2016_160401_571968550
0.95;0.33;1;0.17;2424;1.05721;0.961224;0.248756;1.00748;-0;-0;-0;0.401802;0.550338;0.836548;./core_134/iter_freqdep_16_9_2016_160401_760405707
0.97;0.33;0.1;0.17;7713;1.05959;0.9444;0.447168;1.0073;0.249801;0.465086;0.212757;0.54066;0.303149;0.978916;./core_134/iter_freqdep_16_9_2016_160401_932904019
0.97;0.33;0.5;0.17;3455;1.05637;0.949371;0.259148;1.00632;0.18124;0.166478;0.0360574;0.412969;0.535439;0.911415;./core_134/iter_freqdep_16_9_2016_160402_210611483
0.97;0.33;1;0.17;2397;1.05706;0.96106;0.245379;1.00732;-0;-0;-0;0.398264;0.555484;0.834058;./core_134/iter_freqdep_16_9_2016_160402_463115173
0.99;0.33;0.1;0.17;7769;1.05949;0.944273;0.441521;1.00719;0.25392;0.46391;0.208054;0.539366;0.30942;0.978569;./core_134/iter_freqdep_16_9_2016_160402_615686152
0.99;0.33;0.5;0.17;3420;1.05626;0.94925;0.255726;1.0062;0.182516;0.165039;0.0351591;0.40953;0.540571;0.910153;./core_134/iter_freqdep_16_9_2016_160402_904018670
0.99;0.33;1;0.17;2372;1.05692;0.960902;0.242139;1.00716;-0;-0;-0;0.394821;0.560445;0.831609;./core_134/iter_freqdep_16_9_2016_160403_97200859
0.01;0.33;0.1;0.19;1846;1.06605;0.929573;0.999337;0.994787;4.78432e-07;0.00115085;0.691852;0.0015488;5.91603e-07;1;./core_135/iter_freqdep_16_9_2016_160354_764770625
0.01;0.33;0.5;0.19;834;1.06061;0.919776;0.999582;0.976422;3.48799e-07;0.000644723;0.294027;0.00177379;7.7603e-07;1.00002;./core_135/iter_freqdep_16_9_2016_160354_964916711
0.01;0.33;1;0.19;576;1.0551;0.910011;0.9999;0.957775;-0;-0;-0;0.00109124;2.93763e-07;1.00002;./core_135/iter_freqdep_16_9_2016_160355_79207497
0.03;0.33;0.1;0.19;1937;1.06675;0.930826;0.99928;0.99628;5.29143e-07;0.00122159;0.704705;0.0016373;6.5395e-07;1;./core_135/iter_freqdep_16_9_2016_160355_209407421
0.03;0.33;0.5;0.19;902;1.0637;0.925397;0.999978;0.982766;1.01307e-07;0.000350087;0.298439;0.000963855;2.26721e-07;1.00001;./core_135/iter_freqdep_16_9_2016_160355_485741076
0.03;0.33;1;0.19;625;1.06061;0.92;0.9999;0.968288;-0;-0;-0;0.000626838;9.59992e-08;1.00001;./core_135/iter_freqdep_16_9_2016_160355_656971006
0.05;0.33;0.1;0.19;2041;1.06745;0.932079;0.999232;0.997773;5.71472e-07;0.00128135;0.71777;0.00171046;7.06035e-07;1;./core_135/iter_freqdep_16_9_2016_160355_789074783
0.05;0.33;0.5;0.19;982;1.06687;0.931031;0.999756;0.989134;1.7714e-07;0.000465972;0.302574;0.00127959;3.95167e-07;1;./core_135/iter_freqdep_16_9_2016_160356_25910708
0.05;0.33;1;0.19;683;1.06629;0.929986;0.999902;0.978799;-0;-0;-0;0.00140215;4.74476e-07;1;./core_135/iter_freqdep_16_9_2016_160356_160507705
0.07;0.33;0.1;0.19;2162;1.06815;0.933332;0.999231;0.999265;5.55264e-07;0.00127489;0.731136;0.00169511;6.8603e-07;0.999999;./core_135/iter_freqdep_16_9_2016_160356_261602620
0.07;0.33;0.5;0.19;1080;1.07001;0.936659;0.99964;0.995493;2.10441e-07;0.0005113;0.306788;0.0014016;4.69053e-07;0.999995;./core_136/iter_freqdep_16_9_2016_160346_908366196
0.07;0.33;1;0.19;755;1.07186;0.939969;0.999752;0.989307;-0;-0;-0;0.00153526;5.62785e-07;0.999991;./core_136/iter_freqdep_16_9_2016_160347_109314260
0.09;0.33;0.1;0.19;2305;1.06885;0.934584;0.999195;1.00076;5.81703e-07;0.00131705;0.744635;0.00174399;7.18523e-07;0.999997;./core_136/iter_freqdep_16_9_2016_160347_246781151
0.09;0.33;0.5;0.19;1203;1.07314;0.942284;0.999493;1.00185;2.65016e-07;0.00057759;0.311011;0.00158045;5.90104e-07;0.999988;./core_136/iter_freqdep_16_9_2016_160347_554359907
0.09;0.33;1;0.19;847;1.07748;0.949969;0.999944;0.999831;-0;-0;-0;0.00101786;2.44833e-07;0.999986;./core_136/iter_freqdep_16_9_2016_160347_746109691
0.11;0.33;0.1;0.19;2479;1.06954;0.935836;0.999132;1.00225;6.43481e-07;0.00139806;0.758282;0.00184349;7.94496e-07;0.999995;./core_136/iter_freqdep_16_9_2016_160347_929749645
0.11;0.33;0.5;0.19;1364;1.07628;0.947914;0.999477;1.00821;2.39691e-07;0.000553015;0.315334;0.00151121;5.33908e-07;0.999982;./core_136/iter_freqdep_16_9_2016_160348_184119908
0.11;0.33;1;0.19;967;1.08298;0.959934;0.999542;1.01032;-0;-0;-0;0.00162568;6.17867e-07;0.999965;./core_136/iter_freqdep_16_9_2016_160348_323605007
0.13;0.33;0.1;0.19;2701;1.07024;0.937087;0.999101;1.00374;6.63847e-07;0.00143323;0.772218;0.00188198;8.19478e-07;0.999993;./core_136/iter_freqdep_16_9_2016_160348_441536933
0.13;0.33;0.5;0.19;1586;1.07941;0.953537;0.999368;1.01456;2.7152e-07;0.000592472;0.319633;0.00161633;6.04471e-07;0.999973;./core_136/iter_freqdep_16_9_2016_160348_748394616
0.13;0.33;1;0.19;1136;1.08853;0.969912;0.999411;1.02082;-0;-0;-0;0.00171626;6.81545e-07;0.99995;./core_137/iter_freqdep_16_9_2016_160347_206526472
0.15;0.33;0.1;0.19;3006;1.07094;0.938339;0.999071;1.00523;6.82356e-07;0.00146659;0.786379;0.00191768;8.42162e-07;0.999991;./core_137/iter_freqdep_16_9_2016_160347_447567293
0.15;0.33;0.5;0.19;1923;1.08253;0.959155;0.999233;1.0209;3.23274e-07;0.000650691;0.323942;0.00177209;7.19173e-07;0.999963;./core_137/iter_freqdep_16_9_2016_160347_748806336
0.15;0.33;1;0.19;1398;1.09408;0.979891;0.999306;1.03132;-0;-0;-0;0.0017546;7.0506e-07;0.999935;./core_137/iter_freqdep_16_9_2016_160348_19150206
0.17;0.33;0.1;0.19;3499;1.07163;0.93959;0.999028;1.00672;7.20523e-07;0.00152103;0.80073;0.00198036;8.88995e-07;0.999989;./core_137/iter_freqdep_16_9_2016_160348_227964963
0.17;0.33;0.5;0.19;2548;1.08564;0.964771;0.999106;1.02724;3.72403e-07;0.000702918;0.328284;0.0019111;8.27967e-07;0.999952;./core_137/iter_freqdep_16_9_2016_160348_486349837
0.17;0.33;1;0.19;1899;1.09962;0.989863;0.999155;1.04182;-0;-0;-0;0.00187834;7.99848e-07;0.999916;./core_137/iter_freqdep_16_9_2016_160348_773220939
0.19;0.33;0.1;0.19;5490;1.07233;0.940841;0.999001;1.00821;7.33095e-07;0.00154852;0.81536;0.00200751;9.04093e-07;0.999987;./core_137/iter_freqdep_16_9_2016_160349_17479784
0.19;0.33;0.5;0.19;8017;1.08875;0.970381;0.998944;1.03358;4.53547e-07;0.000780697;0.33263;0.00211893;1.00727e-06;0.999937;./core_137/iter_freqdep_16_9_2016_160349_401062950
0.19;0.33;1;0.19;5986;1.10514;0.999832;0.999002;1.05231;-0;-0;-0;0.00200672;9.03378e-07;0.999894;./core_137/iter_freqdep_16_9_2016_160349_895771355
0.21;0.33;0.1;0.19;7373;1.07278;0.941676;0.985152;1.00928;0.000164787;0.0228677;0.791824;0.0295495;0.000199382;0.999778;./core_138/iter_freqdep_16_9_2016_160342_783598405
0.21;0.33;0.5;0.19;9103;1.0869;0.968833;0.932087;1.03224;0.00190517;0.0477117;0.295958;0.127773;0.00416663;0.995744;./core_138/iter_freqdep_16_9_2016_160343_149461636
0.21;0.33;1;0.19;7425;1.10001;0.994633;0.913731;1.04707;-0;-0;-0;0.159103;0.00672291;0.990595;./core_138/iter_freqdep_16_9_2016_160343_579693552
0.23;0.33;0.1;0.19;7654;1.07319;0.94241;0.970068;1.01026;0.000685228;0.0458521;0.766296;0.0591791;0.000817318;0.9995;./core_138/iter_freqdep_16_9_2016_160343_932727473
0.23;0.33;0.5;0.19;8775;1.085;0.966917;0.870051;1.03048;0.00703201;0.0868708;0.266402;0.229956;0.0153712;0.991469;./core_138/iter_freqdep_16_9_2016_160344_347107832
0.23;0.33;1;0.19;6751;1.09596;0.990259;0.842538;1.04267;-0;-0;-0;0.269802;0.0225664;0.982202;./core_138/iter_freqdep_16_9_2016_160344_921967896
0.25;0.33;0.1;0.19;7943;1.07353;0.943049;0.954634;1.01113;0.0016085;0.069077;0.741332;0.0890066;0.00189312;0.999165;./core_138/iter_freqdep_16_9_2016_160345_255344818
0.25;0.33;0.5;0.19;8345;1.08315;0.964956;0.814385;1.02863;0.014349;0.118134;0.242094;0.309429;0.0315628;0.987334;./core_138/iter_freqdep_16_9_2016_160345_636836298
0.25;0.33;1;0.19;6176;1.09261;0.986619;0.782737;1.039;-0;-0;-0;0.348064;0.0432374;0.974577;./core_138/iter_freqdep_16_9_2016_160346_38269560
0.27;0.33;0.1;0.19;8239;1.0738;0.943592;0.938855;1.01189;0.00298162;0.0924762;0.716976;0.118901;0.00346579;0.998775;./core_138/iter_freqdep_16_9_2016_160346_349916806
0.27;0.33;0.5;0.19;7873;1.08144;0.963084;0.764926;1.02685;0.0229001;0.142595;0.221527;0.370114;0.0509041;0.98341;./core_139/iter_freqdep_16_9_2016_160335_388967114
0.27;0.33;1;0.19;5675;1.08979;0.983543;0.731796;1.0359;-0;-0;-0;0.403919;0.0662523;0.967559;./core_139/iter_freqdep_16_9_2016_160335_699591386
0.29;0.33;0.1;0.19;8540;1.074;0.94404;0.922737;1.01254;0.0048503;0.115974;0.693256;0.14872;0.00557328;0.998332;./core_139/iter_freqdep_16_9_2016_160335_914188043
0.29;0.33;0.5;0.19;7391;1.07988;0.961358;0.721121;1.02519;0.0319678;0.161469;0.20378;0.415915;0.0719853;0.979712;./core_139/iter_freqdep_16_9_2016_160336_254909203
0.29;0.33;1;0.19;5216;1.08737;0.98091;0.687881;1.03325;-0;-0;-0;0.443952;0.090152;0.961031;./core_139/iter_freqdep_16_9_2016_160336_540770210
0.31;0.33;0.1;0.19;8841;1.07412;0.944392;0.906297;1.01309;0.00725674;0.139479;0.670191;0.17831;0.00825086;0.997838;./core_139/iter_freqdep_16_9_2016_160336_728353563
0.31;0.33;0.5;0.19;6910;1.0785;0.959792;0.682297;1.02367;0.0410761;0.175879;0.188267;0.450175;0.0938127;0.976231;./core_139/iter_freqdep_16_9_2016_160337_71801665
0.31;0.33;1;0.19;4796;1.08529;0.978632;0.649632;1.03096;-0;-0;-0;0.472607;0.114075;0.954909;./core_139/iter_freqdep_16_9_2016_160337_388822727
0.33;0.33;0.1;0.19;9139;1.07419;0.944652;0.889563;1.01353;0.0102371;0.162881;0.647795;0.207498;0.011529;0.997297;./core_139/iter_freqdep_16_9_2016_160337_673761640
0.33;0.33;0.5;0.19;6443;1.07726;0.958381;0.647787;1.02231;0.0499367;0.18677;0.174588;0.475572;0.115723;0.97295;./core_139/iter_freqdep_16_9_2016_160338_148848459
0.33;0.33;1;0.19;4437;1.08347;0.976641;0.616018;1.02896;-0;-0;-0;0.492952;0.137516;0.949128;./core_140/iter_freqdep_16_9_2016_162625_175338046
0.35;0.33;0.1;0.19;9426;1.07419;0.944824;0.872574;1.01387;0.0138185;0.186054;0.626077;0.236105;0.0154311;0.996715;./core_140/iter_freqdep_16_9_2016_162625_283865151
0.35;0.33;0.5;0.19;6008;1.07615;0.957113;0.61699;1.02108;0.0583901;0.194904;0.162448;0.494176;0.137291;0.969846;./core_140/iter_freqdep_16_9_2016_162625_578831943
0.35;0.33;1;0.19;4089;1.08188;0.974886;0.586245;1.02719;-0;-0;-0;0.507151;0.160188;0.943638;./core_140/iter_freqdep_16_9_2016_162625_720145033
0.37;0.33;0.1;0.19;9697;1.07414;0.944912;0.855381;1.01412;0.0180167;0.208858;0.605043;0.263942;0.0199713;0.996096;./core_140/iter_freqdep_16_9_2016_162625_811994237
0.37;0.33;0.5;0.19;5577;1.07516;0.955971;0.589384;1.01997;0.0663599;0.200883;0.15162;0.507565;0.158255;0.9669;./core_140/iter_freqdep_16_9_2016_162626_67135362
0.37;0.33;1;0.19;3736;1.08046;0.973329;0.559692;1.02562;-0;-0;-0;0.516758;0.181938;0.938401;./core_140/iter_freqdep_16_9_2016_162626_186708980
0.39;0.33;0.1;0.19;9946;1.07403;0.944923;0.83805;1.01427;0.0228325;0.231142;0.584695;0.290823;0.025152;0.995446;./core_140/iter_freqdep_16_9_2016_162626_275289535
0.39;0.33;0.5;0.19;5137;1.07427;0.954942;0.564524;1.01897;0.0738206;0.205176;0.141923;0.516942;0.178464;0.964095;./core_140/iter_freqdep_16_9_2016_162626_520100450
