c;pinit;d;v;time;vh_1;vd_1;p;vd_0;rdd;rhd;rhh;f_1;f_0;vh_2;file
0.23;0.33;0.1;0.01;43489;1.00301;0.996697;0.0749677;1.00006;0.648446;0.119892;0.00545744;0.139381;0.85553;0.994469;./core_3/iter_freqdep_16_9_2016_160319_685375536
0.23;0.33;0.5;0.01;11882;1.00271;0.99702;0.0504369;1.00008;0.300426;0.0403372;0.00129495;0.0962561;0.901441;0.973742;./core_3/iter_freqdep_16_9_2016_160320_962098365
0.23;0.33;1;0.01;8093;1.00263;0.997597;0.0483495;1.00011;-0;-0;-0;0.0924756;0.905408;0.948303;./core_3/iter_freqdep_16_9_2016_160321_363856360
0.25;0.33;0.1;0.01;40888;1.00301;0.996693;0.068447;1.00005;0.659665;0.11009;0.00452763;0.128157;0.867639;0.994075;./core_3/iter_freqdep_16_9_2016_160321_644602755
0.25;0.33;0.5;0.01;11140;1.0027;0.997014;0.046795;1.00008;0.302481;0.0375404;0.00111395;0.0896504;0.908385;0.971736;./core_3/iter_freqdep_16_9_2016_160322_790481508
0.25;0.33;1;0.01;7584;1.00262;0.997588;0.0448818;1.0001;-0;-0;-0;0.0861581;0.912034;0.944292;./core_3/iter_freqdep_16_9_2016_160323_174458203
0.27;0.33;0.1;0.01;38602;1.00302;0.996689;0.0629963;1.00005;0.669377;0.101811;0.00381925;0.118643;0.877828;0.993687;./core_3/iter_freqdep_16_9_2016_160323_435049161
0.27;0.33;0.5;0.01;10500;1.0027;0.997009;0.043695;1.00007;0.304249;0.0351455;0.000970665;0.0839855;0.914316;0.969766;./core_4/iter_freqdep_16_9_2016_160334_864503251
0.27;0.33;1;0.01;7145;1.00261;0.997581;0.0419279;1.00009;-0;-0;-0;0.0807383;0.917698;0.940354;./core_4/iter_freqdep_16_9_2016_160335_216025651
0.29;0.33;0.1;0.01;36580;1.00302;0.996686;0.0583812;1.00004;0.677853;0.0947387;0.00326815;0.110494;0.886501;0.993307;./core_4/iter_freqdep_16_9_2016_160335_433818505
0.29;0.33;0.5;0.01;9943;1.00269;0.997004;0.0410244;1.00006;0.305784;0.0330717;0.000855181;0.0790743;0.919442;0.967831;./core_4/iter_freqdep_16_9_2016_160336_318861067
0.29;0.33;1;0.01;6763;1.00261;0.997574;0.0393814;1.00009;-0;-0;-0;0.0760377;0.922595;0.936486;./core_4/iter_freqdep_16_9_2016_160336_602945474
0.31;0.33;0.1;0.01;34781;1.00303;0.996684;0.0544292;1.00004;0.685303;0.0886375;0.00283148;0.103448;0.893963;0.992932;./core_4/iter_freqdep_16_9_2016_160336_844002400
0.31;0.33;0.5;0.01;9452;1.00269;0.997;0.0387;1.00006;0.307131;0.0312589;0.00076065;0.0747761;0.923915;0.96593;./core_4/iter_freqdep_16_9_2016_160337_630775518
0.31;0.33;1;0.01;6427;1.0026;0.997569;0.0371635;1.00008;-0;-0;-0;0.0719224;0.92687;0.932685;./core_4/iter_freqdep_16_9_2016_160338_11619545
0.33;0.33;0.1;0.01;33172;1.00303;0.996682;0.051011;1.00003;0.691896;0.0833262;0.00247988;0.0973025;0.900443;0.992564;./core_4/iter_freqdep_16_9_2016_160338_223425643
0.33;0.33;0.5;0.01;9017;1.00269;0.996996;0.0366584;1.00006;0.308322;0.0296605;0.000682215;0.070983;0.927853;0.964063;./core_4/iter_freqdep_16_9_2016_160339_109800227
0.33;0.33;1;0.01;6129;1.0026;0.997564;0.0352144;1.00008;-0;-0;-0;0.0682895;0.930636;0.928951;./core_5/iter_freqdep_16_9_2016_160332_877801366
0.35;0.33;0.1;0.01;31726;1.00303;0.99668;0.0480282;1.00003;0.697767;0.0786653;0.00219272;0.0919018;0.906117;0.992201;./core_5/iter_freqdep_16_9_2016_160333_120496422
0.35;0.33;0.5;0.01;8628;1.00269;0.996993;0.0348512;1.00005;0.309382;0.0282409;0.000616364;0.0676112;0.931345;0.962227;./core_5/iter_freqdep_16_9_2016_160334_220993777
0.35;0.33;1;0.01;5864;1.00259;0.997559;0.033488;1.00007;-0;-0;-0;0.0650589;0.933978;0.925281;./core_5/iter_freqdep_16_9_2016_160334_560212535
0.37;0.33;0.1;0.01;30420;1.00303;0.996679;0.0454045;1.00003;0.703025;0.0745453;0.0019552;0.0871218;0.911122;0.991845;./core_5/iter_freqdep_16_9_2016_160334_799125201
0.37;0.33;0.5;0.01;8279;1.00268;0.996991;0.03324;1.00005;0.310332;0.0269716;0.000560491;0.0645942;0.934465;0.960423;./core_5/iter_freqdep_16_9_2016_160335_795957933
0.37;0.33;1;0.01;5624;1.00259;0.997555;0.0319484;1.00007;-0;-0;-0;0.0621676;0.936963;0.921674;./core_5/iter_freqdep_16_9_2016_160336_124453964
0.39;0.33;0.1;0.01;29235;1.00304;0.996678;0.0430803;1.00003;0.707757;0.0708795;0.00175651;0.0828643;0.915568;0.991494;./core_5/iter_freqdep_16_9_2016_160336_361444484
0.39;0.33;0.5;0.01;7963;1.00268;0.996988;0.0317947;1.00005;0.311189;0.02583;0.000512644;0.0618789;0.937267;0.95865;./core_5/iter_freqdep_16_9_2016_160337_382242014
0.39;0.33;1;0.01;5408;1.00258;0.997552;0.0305667;1.00006;-0;-0;-0;0.0595646;0.939646;0.918128;./core_5/iter_freqdep_16_9_2016_160337_807955010
0.41;0.33;0.1;0.01;28156;1.00304;0.996677;0.0410081;1.00003;0.712037;0.0675984;0.00158862;0.07905;0.919541;0.991149;./core_6/iter_freqdep_16_9_2016_160332_749649550
0.41;0.33;0.5;0.01;7677;1.00268;0.996986;0.0304909;1.00005;0.311965;0.0247976;0.00047132;0.0594222;0.939799;0.956906;./core_6/iter_freqdep_16_9_2016_160333_698134528
0.41;0.33;1;0.01;5213;1.00258;0.997549;0.0293196;1.00006;-0;-0;-0;0.0572089;0.942071;0.914641;./core_6/iter_freqdep_16_9_2016_160334_15051937
0.43;0.33;0.1;0.01;27170;1.00304;0.996676;0.0391497;1.00002;0.715926;0.0646455;0.00144543;0.0756146;0.923112;0.99081;./core_6/iter_freqdep_16_9_2016_160334_242286382
0.43;0.33;0.5;0.01;7415;1.00268;0.996984;0.0293089;1.00004;0.312671;0.0238598;0.000435366;0.057189;0.942097;0.955191;./core_6/iter_freqdep_16_9_2016_160335_151429024
0.43;0.33;1;0.01;5034;1.00258;0.997546;0.0281887;1.00006;-0;-0;-0;0.0550669;0.944273;0.911211;./core_6/iter_freqdep_16_9_2016_160335_456138044
0.45;0.33;0.1;0.01;26265;1.00304;0.996675;0.0374744;1.00002;0.719473;0.061975;0.00132231;0.0725057;0.926337;0.990476;./core_6/iter_freqdep_16_9_2016_160335_676219633
0.45;0.33;0.5;0.01;7175;1.00268;0.996982;0.0282324;1.00004;0.313317;0.0230039;0.000403867;0.05515;0.944193;0.953504;./core_6/iter_freqdep_16_9_2016_160336_567861401
0.45;0.33;1;0.01;4870;1.00258;0.997543;0.0271583;1.00006;-0;-0;-0;0.0531109;0.946281;0.907839;./core_6/iter_freqdep_16_9_2016_160336_860358068
0.47;0.33;0.1;0.01;25431;1.00305;0.996675;0.0359568;1.00002;0.722721;0.059549;0.00121565;0.0696798;0.929264;0.990147;./core_6/iter_freqdep_16_9_2016_160337_128785061
0.47;0.33;0.5;0.01;6954;1.00267;0.99698;0.0272477;1.00004;0.31391;0.0222198;0.0003761;0.0532811;0.946112;0.951845;./core_7/iter_freqdep_16_9_2016_160333_109759099
0.47;0.33;1;0.01;4720;1.00257;0.997541;0.0262155;1.00005;-0;-0;-0;0.0513175;0.948121;0.904521;./core_7/iter_freqdep_16_9_2016_160333_417602988
0.49;0.33;0.1;0.01;24661;1.00305;0.996674;0.034576;1.00002;0.725704;0.0573359;0.00112261;0.0671004;0.93193;0.989823;./core_7/iter_freqdep_16_9_2016_160333_620852601
0.49;0.33;0.5;0.01;6751;1.00267;0.996979;0.0263437;1.00004;0.314455;0.0214986;0.00035148;0.0515618;0.947876;0.950213;./core_7/iter_freqdep_16_9_2016_160334_466165533
0.49;0.33;1;0.01;4581;1.00257;0.997539;0.0253498;1.00005;-0;-0;-0;0.0496674;0.949812;0.901257;./core_7/iter_freqdep_16_9_2016_160334_755505652
0.51;0.33;0.1;0.01;23949;1.00305;0.996674;0.0333144;1.00002;0.728455;0.055309;0.00104093;0.0647371;0.93437;0.989505;./core_7/iter_freqdep_16_9_2016_160334_954026901
0.51;0.33;0.5;0.01;6563;1.00267;0.996977;0.0255107;1.00004;0.31496;0.0208333;0.000329538;0.0499747;0.949502;0.948607;./core_7/iter_freqdep_16_9_2016_160335_782968299
0.51;0.33;1;0.01;4452;1.00257;0.997537;0.0245519;1.00005;-0;-0;-0;0.0481441;0.951371;0.898046;./core_7/iter_freqdep_16_9_2016_160336_49690943
0.53;0.33;0.1;0.01;23288;1.00305;0.996673;0.0321575;1.00002;0.730998;0.0534463;0.000968809;0.0625644;0.936611;0.989191;./core_7/iter_freqdep_16_9_2016_160336_240683813
0.53;0.33;0.5;0.01;6387;1.00267;0.996976;0.024741;1.00004;0.315427;0.0202175;0.000309893;0.0485056;0.951006;0.947027;./core_7/iter_freqdep_16_9_2016_160337_40571153
0.53;0.33;1;0.01;4333;1.00257;0.997535;0.0238143;1.00005;-0;-0;-0;0.0467334;0.952814;0.894885;./core_8/iter_freqdep_16_9_2016_160332_768453498
0.55;0.33;0.1;0.01;22671;1.00305;0.996673;0.0310931;1.00002;0.733356;0.051729;0.000904803;0.0605605;0.938674;0.988882;./core_8/iter_freqdep_16_9_2016_160332_954276882
0.55;0.33;0.5;0.01;6224;1.00267;0.996975;0.0240273;1.00003;0.315861;0.019646;0.000292222;0.0471413;0.952402;0.945471;./core_8/iter_freqdep_16_9_2016_160333_733222690
0.55;0.33;1;0.01;4222;1.00257;0.997533;0.0231302;1.00005;-0;-0;-0;0.0454233;0.954153;0.891774;./core_8/iter_freqdep_16_9_2016_160333_995456035
0.57;0.33;0.1;0.01;22096;1.00306;0.996673;0.0301105;1.00002;0.735547;0.0501408;0.000847707;0.0587067;0.940581;0.988578;./core_8/iter_freqdep_16_9_2016_160334_176246747
0.57;0.33;0.5;0.01;6072;1.00267;0.996973;0.0233639;1.00003;0.316266;0.019114;0.000276261;0.0458712;0.9537;0.94394;./core_8/iter_freqdep_16_9_2016_160335_34243831
0.57;0.33;1;0.01;4118;1.00256;0.997532;0.0224943;1.00004;-0;-0;-0;0.0442036;0.955399;0.888712;./core_8/iter_freqdep_16_9_2016_160335_297361776
0.59;0.33;0.1;0.01;21558;1.00306;0.996672;0.0292008;1.00002;0.73759;0.0486678;0.000796547;0.0569869;0.942349;0.988279;./core_8/iter_freqdep_16_9_2016_160335_487582764
0.59;0.33;0.5;0.01;5930;1.00267;0.996972;0.0227455;1.00003;0.316644;0.0186176;0.000261791;0.0446858;0.954911;0.942433;./core_8/iter_freqdep_16_9_2016_160336_255088429
0.59;0.33;1;0.01;4021;1.00256;0.99753;0.0219014;1.00004;-0;-0;-0;0.043065;0.956561;0.885698;./core_8/iter_freqdep_16_9_2016_160336_502740669
0.61;0.33;0.1;0.01;21054;1.00306;0.996672;0.0283562;1.00002;0.739498;0.0472979;0.000750508;0.0553871;0.943991;0.987984;./core_9/iter_freqdep_16_9_2016_160341_383633787
0.61;0.33;0.5;0.01;5797;1.00267;0.996971;0.0221678;1.00003;0.316997;0.0181534;0.000248625;0.043577;0.956043;0.940949;./core_9/iter_freqdep_16_9_2016_160342_192001651
0.61;0.33;1;0.01;3931;1.00256;0.997529;0.0213473;1.00004;-0;-0;-0;0.0419997;0.957648;0.88273;./core_9/iter_freqdep_16_9_2016_160342_528447453
0.63;0.33;0.1;0.01;20580;1.00306;0.996672;0.0275701;1.00002;0.741283;0.0460212;0.000708922;0.0538956;0.945521;0.987693;./core_9/iter_freqdep_16_9_2016_160342_752940164
0.63;0.33;0.5;0.01;5671;1.00267;0.996971;0.0216269;1.00003;0.317329;0.0177184;0.000236609;0.0425376;0.957103;0.939487;./core_9/iter_freqdep_16_9_2016_160343_484778185
0.63;0.33;1;0.01;3844;1.00256;0.997527;0.0208286;1.00004;-0;-0;-0;0.0410012;0.958666;0.879807;./core_9/iter_freqdep_16_9_2016_160343_769311938
0.65;0.33;0.1;0.01;20135;1.00306;0.996672;0.0268366;1.00001;0.742958;0.044828;0.000671209;0.0525016;0.94695;0.987407;./core_9/iter_freqdep_16_9_2016_160344_6291683
0.65;0.33;0.5;0.01;5552;1.00267;0.99697;0.0211195;1.00003;0.317641;0.0173099;0.000225607;0.0415614;0.958099;0.938048;./core_9/iter_freqdep_16_9_2016_160344_760263838
0.65;0.33;1;0.01;3764;1.00256;0.997526;0.0203417;1.00004;-0;-0;-0;0.0400629;0.959622;0.876929;./core_9/iter_freqdep_16_9_2016_160345_157903488
0.67;0.33;0.1;0.01;19715;1.00306;0.996671;0.0261507;1.00001;0.744532;0.0437109;0.0006369;0.0511962;0.948287;0.987125;./core_9/iter_freqdep_16_9_2016_160345_375774397
0.67;0.33;0.5;0.01;5441;1.00266;0.996969;0.0206423;1.00003;0.317935;0.0169255;0.000215501;0.0406425;0.959035;0.936631;./core_10/iter_freqdep_16_9_2016_160358_191326229
0.67;0.33;1;0.01;3688;1.00256;0.997525;0.0198839;1.00004;-0;-0;-0;0.0391799;0.960521;0.874094;./core_10/iter_freqdep_16_9_2016_160358_449484250
0.69;0.33;0.1;0.01;19319;1.00306;0.996671;0.0255079;1.00001;0.746015;0.0426627;0.000605581;0.049971;0.949541;0.986847;./core_10/iter_freqdep_16_9_2016_160358_642851369
0.69;0.33;0.5;0.01;5336;1.00266;0.996968;0.0201929;1.00003;0.318212;0.0165631;0.000206196;0.0397762;0.959918;0.935234;./core_10/iter_freqdep_16_9_2016_160359_364459702
0.69;0.33;1;0.01;3617;1.00256;0.997524;0.0194525;1.00004;-0;-0;-0;0.0383471;0.961369;0.871302;./core_10/iter_freqdep_16_9_2016_160359_657932687
0.71;0.33;0.1;0.01;18944;1.00306;0.996671;0.0249043;1.00001;0.747412;0.0416774;0.000576911;0.0488192;0.950719;0.986574;./core_10/iter_freqdep_16_9_2016_160359_908777641
0.71;0.33;0.5;0.01;5236;1.00266;0.996967;0.0197689;1.00003;0.318473;0.016221;0.000197606;0.0389581;0.960751;0.933859;./core_10/iter_freqdep_16_9_2016_160400_676419507
0.71;0.33;1;0.01;3549;1.00256;0.997523;0.0190456;1.00004;-0;-0;-0;0.0375607;0.962169;0.868551;./core_10/iter_freqdep_16_9_2016_160400_962610420
0.73;0.33;0.1;0.01;18588;1.00307;0.996671;0.0243366;1.00001;0.748732;0.0407495;0.000550591;0.0477344;0.951828;0.986304;./core_10/iter_freqdep_16_9_2016_160401_136685835
0.73;0.33;0.5;0.01;5142;1.00266;0.996967;0.0193681;1.00003;0.318721;0.0158974;0.000189656;0.0381842;0.961538;0.932503;./core_10/iter_freqdep_16_9_2016_160401_822921166
0.73;0.33;1;0.01;3485;1.00255;0.997522;0.0186608;1.00003;-0;-0;-0;0.0368167;0.962926;0.86584;./core_11/iter_freqdep_16_9_2016_160349_993938573
0.75;0.33;0.1;0.01;18252;1.00307;0.996671;0.0238015;1.00001;0.749982;0.0398739;0.000526356;0.0467106;0.952874;0.986038;./core_11/iter_freqdep_16_9_2016_160350_183546458
0.75;0.33;0.5;0.01;5052;1.00266;0.996966;0.0189889;1.00003;0.318956;0.015591;0.000182283;0.0374512;0.962284;0.931168;./core_11/iter_freqdep_16_9_2016_160350_827388346
0.75;0.33;1;0.01;3424;1.00255;0.997521;0.0182967;1.00003;-0;-0;-0;0.0361119;0.963642;0.863169;./core_11/iter_freqdep_16_9_2016_160351_115040001
0.77;0.33;0.1;0.01;17932;1.00307;0.996671;0.0232964;1.00001;0.751165;0.0390468;0.000503993;0.0457432;0.953861;0.985776;./core_11/iter_freqdep_16_9_2016_160351_370190597
0.77;0.33;0.5;0.01;4967;1.00266;0.996965;0.0186293;1.00003;0.319179;0.0153003;0.000175429;0.0367557;0.962991;0.929851;./core_11/iter_freqdep_16_9_2016_160352_84382001
0.77;0.33;1;0.01;3366;1.00255;0.99752;0.0179514;1.00003;-0;-0;-0;0.0354432;0.964322;0.860537;./core_11/iter_freqdep_16_9_2016_160352_471117330
0.79;0.33;0.1;0.01;17628;1.00307;0.996671;0.0228188;1.00001;0.752288;0.0382639;0.000483304;0.0448276;0.954796;0.985518;./core_11/iter_freqdep_16_9_2016_160352_739307423
0.79;0.33;0.5;0.01;4886;1.00266;0.996965;0.018288;1.00002;0.319391;0.0150242;0.000169044;0.0360951;0.963663;0.928554;./core_11/iter_freqdep_16_9_2016_160353_432680866
0.79;0.33;1;0.01;3311;1.00255;0.997519;0.0176236;1.00003;-0;-0;-0;0.0348079;0.964967;0.857942;./core_11/iter_freqdep_16_9_2016_160353_672542867
0.81;0.33;0.1;0.01;17338;1.00307;0.99667;0.0223666;1.00001;0.753355;0.0375221;0.000464124;0.0439599;0.955681;0.985263;./core_12/iter_freqdep_16_9_2016_160333_136657940
0.81;0.33;0.5;0.01;4809;1.00266;0.996964;0.0179635;1.00002;0.319592;0.0147616;0.000163086;0.0354667;0.964302;0.927275;./core_12/iter_freqdep_16_9_2016_160333_761569058
0.81;0.33;1;0.01;3257;1.00255;0.997518;0.0173122;1.00003;-0;-0;-0;0.0342038;0.965581;0.855385;./core_12/iter_freqdep_16_9_2016_160333_973202228
0.83;0.33;0.1;0.01;17062;1.00307;0.99667;0.0219378;1.00001;0.754369;0.036818;0.0004463;0.0431363;0.956521;0.985012;./core_12/iter_freqdep_16_9_2016_160334_126405513
0.83;0.33;0.5;0.01;4735;1.00266;0.996964;0.0176548;1.00002;0.319784;0.0145116;0.000157516;0.0348684;0.964909;0.926015;./core_12/iter_freqdep_16_9_2016_160334_755721667
0.83;0.33;1;0.01;3208;1.00255;0.997518;0.0170155;1.00003;-0;-0;-0;0.0336281;0.966165;0.852864;./core_12/iter_freqdep_16_9_2016_160334_961569330
0.85;0.33;0.1;0.01;16798;1.00307;0.99667;0.0215307;1.00001;0.755335;0.036149;0.000429709;0.0423536;0.957318;0.984764;./core_12/iter_freqdep_16_9_2016_160335_105950142
0.85;0.33;0.5;0.01;4665;1.00266;0.996963;0.0173606;1.00002;0.319967;0.0142733;0.000152298;0.0342977;0.965489;0.924772;./core_12/iter_freqdep_16_9_2016_160335_698448374
0.85;0.33;1;0.01;3160;1.00255;0.997517;0.0167329;1.00003;-0;-0;-0;0.0330793;0.966722;0.850379;./core_12/iter_freqdep_16_9_2016_160335_911019632
