c;sdmu_h;d;NumGen;v;seed;mu_h;Npatches;runtime;generation;f_0;f_1;f_2;meanphh;meanpdh;varphh;varphd;file
0;0.01;1;100000000000000;0.2;420737114;0.01;4000;0;329334000000;0.25775;0.43125;0.311;0.4995;0.50737;0.043392;0.043529;hpcbatch_09_09_2016_103953/core_24/sim_px_9_9_2016_124522_321282912
0;0.01;0;100000000000000;0.25;671991896;0.01;4000;0;323047000000;0;0.019;0.981;0.99119;0.71969;6.6148e-05;0.0011202;hpcbatch_09_09_2016_103953/core_25/sim_px_9_9_2016_124523_353544507
0;0.01;0.1;100000000000000;0.25;779574086;0.01;4000;0;322228000000;0;0.02;0.98;0.98772;0.91702;9.251e-05;0.00069504;hpcbatch_09_09_2016_103953/core_26/sim_px_9_9_2016_124523_364303835
0;0.01;0.25;100000000000000;0.25;132431545;0.01;4000;0;327633000000;0.00025;0.02175;0.978;0.98709;0.92347;0.00015467;0.00052853;hpcbatch_09_09_2016_103953/core_27/sim_px_9_9_2016_124523_16365713
0;0.01;0.5;100000000000000;0.25;552976549;0.01;4000;0;328294000000;0.00225;0.04275;0.955;0.97709;0.8649;0.00018698;0.0034903;hpcbatch_09_09_2016_103953/core_28/sim_px_9_9_2016_124523_354076073
0;0.01;1;100000000000000;0.25;51146827;0.01;4000;0;329885000000;0.248;0.43375;0.31825;0.50266;0.4989;0.043438;0.042064;hpcbatch_09_09_2016_103953/core_29/sim_px_9_9_2016_124523_907954573
0;0.01;0;100000000000000;0.3;725739947;0.01;4000;0;324311000000;0;0.02325;0.97675;0.98886;0.74553;7.6193e-05;0.00062496;hpcbatch_09_09_2016_103953/core_30/sim_px_9_9_2016_124522_625657085
0;0.01;0.1;100000000000000;0.3;282188356;0.01;4000;0;324616000000;0.00025;0.037;0.96275;0.97975;0.94541;0.00015492;0.00034603;hpcbatch_09_09_2016_103953/core_31/sim_px_9_9_2016_124524_258970316
0;0.01;0.25;100000000000000;0.3;461746425;0.01;4000;0;326180000000;0;0.02675;0.97325;0.98489;0.96151;0.00011867;0.00055908;hpcbatch_09_09_2016_103953/core_32/sim_px_9_9_2016_124522_321316457
0;0.01;0.5;100000000000000;0.3;630740083;0.01;4000;0;333869000000;0.001;0.02375;0.97525;0.98809;0.71559;0.00011523;0.0011645;hpcbatch_09_09_2016_103953/core_33/sim_px_9_9_2016_124523_351304068
