phhinit;c;pdhinit;d;v;time;vh_1;vd_1;vd_0;rdd;pdh;rhd;rhh;f_1;f_0;phh;vh_2;file
0.5;0.11;0.5;1;0.01;13387;1.00275;0.997716;1.00023;-0;0.0740846;-0;-0;0.173735;0.817519;0.299204;0.974031;./core_2/iter_freqdep_13_9_2016_141821_402139878
0.5;0.13;0.5;0.05;0.01;333694;1.00284;0.997238;1.00023;0.398136;0.55887;0.668127;0.0993532;0.560046;0.363686;6.75027e-05;0.998633;./core_3/iter_freqdep_13_9_2016_141648_835942228
0.5;0.13;0.5;0.1;0.01;152343;1.00292;0.997048;1.00024;0.433065;0.355689;0.467083;0.033109;0.442708;0.517321;4.77341e-05;0.997083;./core_3/iter_freqdep_13_9_2016_141703_102789048
0.5;0.13;0.5;0.2;0.01;65986;1.00292;0.996961;1.00025;0.413861;0.241846;0.296974;0.00985772;0.342897;0.634256;3.79303e-05;0.994043;./core_3/iter_freqdep_13_9_2016_141712_822390307
0.5;0.13;0.5;0.5;0.01;45397;1.00283;0.997136;1.00027;0.253799;0.155165;0.11528;0.00108532;0.242362;0.744648;1.40712e-05;0.984928;./core_3/iter_freqdep_13_9_2016_141717_979215700
0.5;0.13;0.5;1;0.01;11199;1.00271;0.997681;1.00019;-0;0.0623694;-0;-0;0.150697;0.842981;0.298638;0.969526;./core_3/iter_freqdep_13_9_2016_141721_713253923
0.5;0.15;0.5;0.05;0.01;279198;1.00287;0.997173;1.00022;0.420329;0.492225;0.622617;0.0770689;0.529316;0.407704;5.00402e-05;0.998393;./core_3/iter_freqdep_13_9_2016_141722_332340748
0.5;0.15;0.5;0.1;0.01;120646;1.00293;0.996985;1.00022;0.455124;0.306914;0.418687;0.0234345;0.405053;0.563609;5.60268e-05;0.996613;./core_3/iter_freqdep_13_9_2016_141734_351737547
0.5;0.15;0.5;0.2;0.01;47312;1.00292;0.996908;1.00022;0.433349;0.20778;0.26166;0.00670888;0.308183;0.674281;4.39828e-05;0.993135;./core_3/iter_freqdep_13_9_2016_141739_466516209
0.5;0.15;0.5;0.5;0.01;41135;1.0028;0.997096;1.00024;0.262278;0.133704;0.100964;0.000728975;0.215788;0.774308;3.23088e-06;0.982701;./core_3/iter_freqdep_13_9_2016_141741_595897643
0.5;0.15;0.5;1;0.01;9653;1.00269;0.997655;1.00017;-0;0.05397;-0;-0;0.133306;0.861901;0.298506;0.965114;./core_3/iter_freqdep_13_9_2016_141743_712628905
0.5;0.17;0.5;0.05;0.01;238546;1.00289;0.997116;1.00021;0.43915;0.438975;0.580488;0.060589;0.500403;0.446927;7.3244e-05;0.998157;./core_4/iter_freqdep_13_9_2016_141705_357654582
0.5;0.17;0.5;0.1;0.01;94573;1.00294;0.996933;1.0002;0.474776;0.26902;0.377727;0.0170259;0.372077;0.602875;6.01601e-05;0.996156;./core_4/iter_freqdep_13_9_2016_141716_83854320
0.5;0.17;0.5;0.2;0.01;30848;1.00292;0.996866;1.00019;0.449915;0.182078;0.233628;0.00476395;0.279626;0.706524;4.27368e-05;0.992249;./core_4/iter_freqdep_13_9_2016_141721_324825248
0.5;0.17;0.5;0.5;0.01;38198;1.00279;0.997065;1.00021;0.268953;0.117692;0.0899514;0.000516468;0.194723;0.797464;1.20287e-05;0.980522;./core_4/iter_freqdep_13_9_2016_141723_196106342
0.5;0.17;0.5;1;0.01;8504;1.00267;0.997635;1.00015;-0;0.0476556;-0;-0;0.119723;0.876511;0.298603;0.960789;./core_4/iter_freqdep_13_9_2016_141725_318775906
0.5;0.19;0.5;0.05;0.01;206632;1.0029;0.997066;1.00021;0.455776;0.395339;0.541804;0.0481794;0.473374;0.482121;6.3783e-05;0.997925;./core_4/iter_freqdep_13_9_2016_141726_55679748
0.5;0.19;0.5;0.1;0.01;70186;1.00294;0.99689;1.00018;0.492554;0.238842;0.342968;0.0126628;0.343205;0.636436;6.50078e-05;0.995712;./core_4/iter_freqdep_13_9_2016_141735_28569767
0.5;0.19;0.5;0.2;0.01;22608;1.00291;0.996834;1.00018;0.463557;0.162781;0.211777;0.00364903;0.256838;0.731812;0.000988782;0.991377;./core_4/iter_freqdep_13_9_2016_141738_366831266
0.5;0.19;0.5;0.5;0.01;36138;1.00277;0.997041;1.00019;0.274346;0.105295;0.0812278;0.000382176;0.17764;0.816029;4.08931e-05;0.978388;./core_4/iter_freqdep_13_9_2016_141739_560932733
0.5;0.19;0.5;1;0.01;7615;1.00265;0.99762;1.00013;-0;0.0427368;-0;-0;0.108826;0.888131;0.298832;0.956548;./core_4/iter_freqdep_13_9_2016_141741_263874432
0.5;0.21;0.5;0.05;0.01;180473;1.00292;0.997023;1.0002;0.470884;0.358873;0.506429;0.0387067;0.448186;0.513876;6.23416e-05;0.997699;./core_5/iter_freqdep_13_9_2016_141705_510351673
0.5;0.21;0.5;0.1;0.01;35680;1.00295;0.996854;1.00017;0.50897;0.213851;0.312712;0.00970476;0.317472;0.665715;0.000992501;0.995274;./core_5/iter_freqdep_13_9_2016_141715_82734972
0.5;0.21;0.5;0.2;0.01;21176;1.00291;0.996808;1.00016;0.475522;0.147272;0.193741;0.00280873;0.237466;0.753107;0.000985121;0.99053;./core_5/iter_freqdep_13_9_2016_141717_107202258
0.5;0.21;0.5;0.5;0.01;34693;1.00276;0.997021;1.00017;0.278799;0.0954162;0.0741537;0.000290117;0.163518;0.831242;1.07877e-05;0.976297;./core_5/iter_freqdep_13_9_2016_141718_331151226
0.5;0.21;0.5;1;0.01;6908;1.00264;0.997607;1.00012;-0;0.0387974;-0;-0;0.0998919;0.897594;0.299139;0.952386;./core_5/iter_freqdep_13_9_2016_141720_111519745
0.5;0.23;0.5;0.05;0.01;158124;1.00293;0.996984;1.00019;0.484894;0.327923;0.474145;0.0313842;0.424751;0.542665;6.12056e-05;0.997477;./core_5/iter_freqdep_13_9_2016_141720_562653695
0.5;0.23;0.5;0.1;0.01;33231;1.00294;0.996828;1.00016;0.520939;0.197442;0.292167;0.00791591;0.299498;0.685972;0.000988331;0.994851;./core_5/iter_freqdep_13_9_2016_141727_838356720
0.5;0.23;0.5;0.2;0.01;20034;1.00291;0.996785;1.00015;0.486461;0.134053;0.178019;0.00219316;0.220233;0.771865;0.000983699;0.989702;./core_5/iter_freqdep_13_9_2016_141729_638322527
0.5;0.23;0.5;0.5;0.01;33726;1.00275;0.997004;1.00016;0.282538;0.087361;0.0683021;0.000227416;0.151657;0.843928;2.02958e-05;0.974246;./core_5/iter_freqdep_13_9_2016_141730_728673147
0.5;0.23;0.5;1;0.01;6332;1.00263;0.997597;1.00011;-0;0.0355715;-0;-0;0.092436;0.905449;0.299496;0.948301;./core_5/iter_freqdep_13_9_2016_141732_560676362
0.5;0.25;0.5;0.05;0.01;138302;1.00293;0.99695;1.00018;0.498059;0.30133;0.444712;0.0256642;0.402968;0.568859;6.47279e-05;0.99726;./core_6/iter_freqdep_13_9_2016_141635_93473077
